"","genotype_in","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"1",1,60,"BY4742","YPD","MATalpha",9.96683766835523,22,-4.70995308855555,22.1333333333333,-219.689587373543,0.00816723742390617,0.0969639469908693,-224.399540462098,24.7726522397298,2.31696719258101
"2",2,60,"BY4742","YPD","MATalpha",9.96683766835523,22,-4.70995308855555,22.1333333333333,-219.689587373543,0.00816723742390617,0.0969639469908693,-224.399540462098,24.7726522397298,2.31696719258101
"3",3,39,"BY4742","YPD pH 5","MATalpha",8.15942695984776,26,4.73163674202121,26.2820512820513,-141.762147715212,0.0053006707461809,0.0991168871471719,-137.030510973191,29.1698073006228,3.44069155061287
"4",4,60,"BY4742","YPD pH 5","MATalpha",9.20826207248036,23,4.40578422134962,23.5666666666667,-221.288242850361,0.00856945405584312,0.0878959241530167,-216.882458629011,26.4858826352232,2.7909019437434
"5",5,40,"BY4742","YPD pH 6","MATalpha",11.2904543298469,20,1.34208650919203,21.75,-152.640795097105,0.0156306645669653,0.0617241725413804,-151.298708587913,24.5649565945496,2.05094889469801
"6",6,60,"BY4742","YPD pH 6","MATalpha",9.74388117430539,19.5,5.61389943622746,20.35,-223.705187741261,0.0169303202291862,0.0663503364972355,-218.091288305033,23.0196988001689,2.23439513843143
"7",7,40,"BY4742","YPD pH 7","MATalpha",9.05595143594843,25,-2.74519943586247,23.7,-143.728910559358,0.00558026294004395,0.109506184477637,-146.474109995221,26.3391844371284,2.8053887848681
"8",8,60,"BY4742","YPD pH 7","MATalpha",8.14979809808489,25.5,0.495030736168076,24.2333333333333,-211.529358553768,0.00447248720540594,0.119022886708048,-211.034327817599,26.9171814931842,3.34170111381662
"9",9,40,"BY4742","YPD pH 8","MATalpha",8.42428571117989,21,1.69745400906706,22.575,-143.271767345217,0.00699720080290033,0.105446330918894,-141.57431333615,25.2616884371582,2.9213059468417
"10",10,60,"BY4742","YPD pH 8","MATalpha",8.17146751544251,21,-0.766498548549208,21.2,-209.99544556071,0.00634278324617274,0.120778937684811,-210.761944109259,23.7501058690791,2.8802648306588
"11",11,80,"BY4742","YPD","MATalpha",9.83789495853609,30.5,6.69316143146619,30.525,-302.082402102055,0.00377693366504443,0.0918202377796653,-295.389240670589,34.0282417853354,3.38174523173059
"12",12,38,"BY4742","YPD","MATalpha",9.75025987179663,23,-0.869297090326029,22.5,-139.218220706415,0.00830975841250538,0.0945194400945899,-140.087517796741,25.2835660594989,2.51157023974112
"13",13,40,"FY5","YPD","MATalpha",7.70942646441721,28,0.410080510832501,26.475,-138.55439133689,0.00223026155128778,0.137555322010107,-138.144310826057,29.2092312650439,3.90774825111076
