"","popsize","genotype","media","mat","sd.ls","medianLS","AvgLS","weibAIC","weibLogLik","weibScale","weibShape","LLogisAIC","LLogisLogLik","LLogisScale","LLogisShape"
"16","60","BY4742","YPD","MATalpha","7.97841367351698","30.5","29.85","419.911507260427","-207.955753630213","32.7995233437726","4.47018603726413","433.071677774284","-214.535838887142","29.6588638162338","5.9451169513756"
"17","40","BY4741","YPD","MATa","9.84547273285206","29.5","28.7","299.471213918565","-147.735606959282","31.9463402852972","3.35678678168737","309.827128470546","-152.913564235273","28.1217757410253","4.37795285977379"
"18","290","BY4742","YPD","MATalpha","9.55528815882152","27","27.1689655172414","2132.26626993743","-1064.13313496872","30.3761420204548","3.07360825078467","2153.11502248725","-1074.55751124363","26.0892306980562","4.62112184700305"
"19","40","BY Matalpha A1","YPD","MATalpha","9.35808302745375","28","26.625","298.743130102319","-147.37156505116","29.5170471035235","3.08391396332477","308.951504174144","-152.475752087072","26.2499122733658","4.23872864753135"
"20","40","BY4742","YPD","MATalpha","11.3903918124455","26.5","25.05","310.970984387492","-153.485492193746","28.1869500654008","2.3659149998705","320.809994527663","-158.404997263832","23.4137357720486","3.10030275470149"
"21","60","BY4742","YPD","MATalpha","8.91953990351495","23","25.0333333333333","436.495522718851","-216.247761359425","27.9445355259208","3.08706979411789","445.662051459514","-220.831025729757","24.0885777278543","4.38306721062868"
"22","40","BY4742","YPD","MATalpha","11.3813838102358","33","33.55","310.415820094353","-153.207910047176","37.4177988186005","3.31747105302043","316.202833637583","-156.101416818791","32.6732334549678","4.72749906803026"
"23","40","WT BY Parent","YPD",NA,"13.9936798921183","30.5","33.85","325.006159033474","-160.503079516737","38.1899008015689","2.63222063878684","324.949811966398","-160.474905983199","31.3071128997931","4.10109968449909"
"24","40","WT","YPD","MATa","5.80312692014245","12","12.625","255.340317153022","-125.670158576511","14.2474819947923","2.35511536438246","262.4555636195","-129.22778180975","11.7191499990896","3.2342932138918"
"25","80","BY4742","YPD","MATalpha","10.9070802112287","18","21.1875","598.582488055393","-297.291244027696","24.0611770505462","2.10243777708952","594.168667824909","-295.084333912455","18.5085603956904","3.36341533060648"
"26","80","BY4742","YPD","MATalpha","10.2289533844755","27","26.5375","603.534766774663","-299.767383387332","29.6983088934723","2.8543401429431","622.810514660274","-309.405257330137","25.5446321318617","3.79127634527581"
"27","40","BY4742","YPD","MATalpha","7.2021631365968","24.5","23.225","273.738381439157","-134.869190719578","25.7724500266379","3.71018781308201","280.490273025635","-138.245136512817","22.5710364855826","5.04732069420907"
"28","40","WT BY Parent","YPD",NA,"9.66751764600911","26.5","26.775","297.859608961998","-146.929804480999","29.9276376020586","3.05990297287184","303.018052511619","-149.50902625581","25.8889046190638","4.47611185638828"
"29","40","BY4742","YPD","MATalpha","11.4605231007834","26.5","26.8","309.581448083296","-152.790724041648","30.2568181462343","2.60566857772462","317.089507315877","-156.544753657939","25.0481567357476","3.46786858483279"
"30","80","BY4742","YPD","MATalpha","10.9477397817592","28","26.9125","614.558017596781","-305.27900879839","30.1712327616532","2.694343898105","637.270671847188","-316.635335923594","25.9316754062839","3.46889918736188"
"31","37","BY4742","YPD","MATalpha","10.9451951694475","15","15.3783783783784","274.221790299338","-135.110895149669","16.900220188459","1.41683658808441","279.876272375022","-137.938136187511","11.9271643605106","1.95379138738935"
"32","40","WT","YPD",NA,"10.1621469566835","26.5","27.25","301.095963637427","-148.547981818713","30.5478973535825","3.00409175669668","307.913440353357","-151.956720176678","26.1883808120508","4.13637145885123"
"33","40","WT BY Parent","YPD",NA,"9.00907661963542","25.5","24.625","291.296420123363","-143.648210061682","27.5806350682026","3.13304126170947","300.387164192832","-148.193582096416","23.8053550155267","4.09299664546473"
"34","40","BY4741","YPD","MATa","11.760837882239","32","31.875","312.487202677509","-154.243601338754","35.7343845566185","3.08719221827592","320.498286736796","-158.249143368398","30.5451273267988","4.09073220727926"
"35","60","BY4742","YPD","MATalpha","9.4022475976229","25.5","26.2666666666667","442.368462531448","-219.184231265724","29.3362077361452","3.0743219645592","451.269695690606","-223.634847845303","25.430216642186","4.4263846576272"
"36","80","BY4742","YPD","MATalpha","11.0290468045848","18","20.925","602.199604818841","-299.099802409421","23.6703284149035","2.01862042489596","602.736139883877","-299.368069941939","18.3548995625404","3.14128990379638"
"37","80","WT","YPD","MATa","13.8791346901324","37","35.55","660.199097871589","-328.099548935794","39.5107352449209","2.74453343615673","690.033718887704","-343.016859443852","34.733360070972","3.36953057117426"
"38","40","WT","YPD","MATa","8.66584069042323","31","30.925","292.19679397746","-144.09839698873","33.8195313069264","4.02008652453094","300.943924860567","-148.471962430284","30.7390642566243","5.7258657074336"
"39","60","WT","YPD","MATa","12.748102772326","41","40.8333333333333","478.709672032319","-237.35483601616","45.2502672372542","3.66687702308569","491.02353837202","-243.51176918601","39.9229327198451","4.93913777652004"
"40","39","BY4742","YPD","MATalpha","10.4616128837553","19","19.2307692307692","292.444348001255","-144.222174000628","21.6883642811181","1.94099576846008","298.559063669294","-147.279531834647","17.1279122112858","2.71737404937557"
"41","80","BY4742","YPD","MATalpha","11.037558148133","30","30.9125","614.438606782297","-305.219303391149","34.5302389661242","3.10004132832144","628.910321274949","-312.455160637474","29.8250411193013","4.27297843737563"
"42","40","BY4742","YPD","MATalpha","8.44131324088671","23","24.775","286.306614732804","-141.153307366402","27.6670485357477","3.27966120955727","290.491662699719","-143.24583134986","23.7985159294117","4.71847051993976"
"43","40","WT","YPD","MATa","8.50908262854975","20","19.825","285.141208582786","-140.570604291393","22.3961825623621","2.56260367021923","289.06291163346","-142.53145581673","18.3475872729541","3.66094518317565"
"44","40","BY4742","YPD","MATalpha","10.2301715653458","20","23.4","299.089127066496","-147.544563533248","26.4731390282619","2.50566945495832","300.684820220694","-148.342410110347","21.3589015511123","3.71285121345696"
"45","40","BY4741","YPD","MATa","12.8292284477323","31.5","30.775","318.071691793889","-157.035845896945","34.7494096460055","2.66112672282604","322.526321308983","-159.263160654491","28.6480798975397","3.74196079623587"
"46","60","BY4742","YPD","MATalpha","13.1685616887021","25","25.75","475.640000234226","-235.820000117113","29.1687961694571","2.10494987418223","482.93272256274","-239.46636128137","22.9729552816768","2.95503494892302"
"47","40","BY4741","YPD","MATa","10.7334846302444","34.5","36.35","306.237782212214","-151.118891106107","40.2663164091818","3.7722317344285","307.910617438505","-151.955308719253","35.1363990403261","5.71103969663474"
"48","40","BY4742","YPD","MATalpha","8.66114222348211","33.5","33.1","288.027880602883","-142.013940301442","36.3462184872652","4.49747311865431","294.768847007117","-145.384423503559","32.6648107886606","6.16112506480747"
"49","60","BY4742","YPD","MATalpha","8.53480742917539","19","21.0666666666667","428.498700438544","-212.249350219272","23.7072213565064","2.68048989500937","433.479589475255","-214.739794737628","19.7617592076331","3.98064021152913"
"50","40","BY4742","YPD","MATalpha","9.32734469044427","26.5","26.225","295.295351072296","-145.647675536148","29.2678107974281","3.15763841426853","303.464453561416","-149.732226780708","25.4001102874911","4.28051678161497"
"51","40","BY4742","YPD","MATalpha","10.4169179456872","19.5","19.275","297.957493146281","-146.97874657314","21.8505373238428","2.00117339331104","301.843071234269","-148.921535617134","16.7926455595039","2.83213989232327"
